#blinkered/dropped/1 words=1374
ÄÄLIÖMÄISESTI	2	fw2,wiki:fi	21,1
AAMIAISAIKA	2	fw2,gut	28,30
AAMUIHMINEN	2	fw2,tat	379,3
AAMUPAHOINVOINTI	2	fw2,wiki:fi	172,1
ÄÄNITÄN	2	fw2,tat	95,1
ÄÄNIVIESTI	2	fw2,wiki:fi	115,4
AARREKARTTA	2	fw2,wiki:fi	387,15
AAVEKAUPUNKI	2	fw2,wiki:fi	1020,76
ABORTOIDA	2	fw2,wiki:fi	47,3
ADOPTOINTI	2	fw2,wiki:fi	151,9
AERODYNAAMINEN	2	fw2,wiki:fi	340,65
ÄHÄKUTTI	2	fw2,wiki:fi	172,1
AIKAKOODI	2	fw2,wiki:fi	31,3
AIKALEIMA	2	fw2,wiki:fi	296,17
AIKAMATKAAJA	2	fw2,wiki:fi	98,19
AIKAMATKUSTUS	2	fw2,wiki:fi	121,50
AIKUISMAINEN	2	fw2,wiki:fi	137,9
AIKUISTUMAAN	2	fw2,wiki:fi	74,10
AIVASTAN	2	fw2,gut	29,3
AIVOKÄÄPIÖ	2	fw2,wiki:fi	5,1
AIVOKÄYRÄ	2	fw2,wiki:fi	18,1
AIVOKUOLLUT	2	fw2,wiki:fi	118,15
AJASTIMET	2	fw2,wiki:fi	237,13
AJASTINTA	2	fw2,wiki:fi	255,11
AJATOLLAH	2	fw2,wiki:fi	367,237
AJAUDUIT	2	fw2,gut	39,1
AJOLINJA	2	fw2,wiki:fi	220,6
AKRONYYMI	2	fw2,wiki:fi	114,148
AKTIVOIN	2	fw2,ia	200,4
ALANUMERO	2	fw2,wiki:fi	59,3
ALATASO	2	fw2,wiki:fi	90,44
ALFAUROS	2	fw2,wiki:fi	219,10
ALIAVARUUS	2	fw2,wiki:fi	36,66
ALIBIT	2	fw2,wiki:fi	14,3
ALIENI	2	fw2,wiki:fi	68,3
ALIPALKATTU	2	fw2,wiki:fi	61,4
ALIVUOKRALAINEN	2	fw2,wiki:fi	225,25
ÄLLÖTYS	2	fw2,ia	148,2
ALOITTELEN	2	fw2,gut	321,2
ALTISTUIT	2	fw2,tat	7,1
ALUSASTIA	2	fw2,wiki:fi	32,2
ÄLYVAPAA	2	fw2,wiki:fi	123,8
AMATÖÖRIMÄINEN	2	fw2,wiki:fi	147,12
ÄNGETÄ	2	fw2,ia	208,1
ANNOSTELLA	2	fw2,wiki:fi	1733,86
ANOMALIAN	2	fw2,wiki:fi	171,37
ANSALANKA	2	fw2,wiki:fi	32,2
ANTIIKKILIIKE	2	fw2,wiki:fi	261,18
ANTIMATERIAN	2	fw2,wiki:fi	47,22
APASSIT	2	fw2,wiki:fi	167,138
APUPYÖRÄT	2	fw2,wiki:fi	106,8
ARKISTOIN	2	fw2,ia	83,4
ARMOMURHA	2	fw2,wiki:fi	22,1
ÄRSYTÄN	2	fw2,gut	38,21
ASENTAKAA	2	fw2,tat	40,1
ASTMAATIKKO	2	fw2,wiki:fi	181,2
ASUMISKELVOTON	2	fw2,wiki:fi	85,4
ATROPIINI	2	fw2,wiki:fi	154,38
AURINGONPURKAUS	2	fw2,wiki:fi	38,4
AURINKOVOIDE	2	fw2,wiki:fi	1275,7
AUSSIT	2	fw2,lz:fin_newscrawl_2011_1M	183,1
AUTOMAATTIASE	2	fw2,wiki:fi	24,4
AUTOPILOTTI	2	fw2,wiki:fi	318,74
AUTOVUOKRAAMO	2	fw2,wiki:fi	1560,21
AUTTELEN	2	fw2,gut	69,14
AVAINKORTTI	2	fw2,wiki:fi	193,10
AVAINTODISTAJA	2	fw2,wiki:fi	52,11
AVAUDUIT	2	fw2,gut	9,1
AVIOIDU	2	fw2,wiki:fi	26,6
AVIOIDUIN	2	fw2,ia	45,1
AVOMURTUMA	2	fw2,wiki:fi	51,2
BAARIKAAPPI	2	fw2,wiki:fi	160,4
BAARITISKI	2	fw2,wiki:fi	445,11
BACKGAMMON	2	fw2,wiki:fi	400,28
BAGEL	2	fw2,wiki:fi	447,11
BAILATAAN	2	fw2,wiki:fi	256,13
BÄNDÄRI	2	fw2,wiki:fi	51,15
BÄNKSIT	2	fw2,tat	25,1
BARRAKUDA	2	fw2,wiki:fi	31,11
BEBOP	2	fw2,wiki:fi	232,226
BEMARIN	2	fw2,tat	391,1
BIOASE	2	fw2,wiki:fi	43,19
BIONINEN	2	fw2,wiki:fi	56,8
BIOPSIA	2	fw2,wiki:fi	1691,14
BIOPSIAN	2	fw2,wiki:fi	594,9
BIOVAARA	2	fw2,wiki:fi	2,3
BIPOLAARINEN	2	fw2,wiki:fi	132,18
BLACKJACK	2	fw2,wiki:fi	20037,75
BLEISERI	2	fw2,wiki:fi	990,6
BLUFFATA	2	fw2,wiki:fi	229,1
BONSAI	2	fw2,wiki:fi	482,86
BORRELIOOSI	2	fw2,wiki:fi	1169,33
BRANDYÄ	2	fw2,wiki:fi	147,12
BRASSIN	2	fw2,wiki:fi	141,21
BROIDI	2	fw2,wiki:fi,wikisource:fi	234,11,3
BROIDIN	2	fw2,tat	104,1
BRUNSSIN	2	fw2,wiki:fi	1436,5
BUKEE	2	fw2,wiki:fi	42,4
